Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
28/04/2020,Jigawa,7,0,0
28/04/2020,Rivers,7,2,2
28/04/2020,Zamfara,4,0,0
28/04/2020,Enugu,3,2,0
28/04/2020,Abia,2,0,0
28/04/2020,Niger,2,0,0
28/04/2020,Adamawa,1,0,0
28/04/2020,Anambra,1,1,0
28/04/2020,Bayelsa,1,0,0
28/04/2020,Benue,1,0,0
28/04/2020,Ebonyi,11,0,0
28/04/2020,Imo,1,0,0
28/04/2020,Kebbi,1,0,0
28/04/2020,Nasarawa,1,0,0
28/04/2020,Plateau,1,0,0
29/04/2020,Lagos,931,192,21
29/04/2020,FCT,174,36,3
29/04/2020,Kano,139,0,3
29/04/2020,Gombe,64,0,0
29/04/2020,Borno,59,0,5
29/04/2020,Ogun,50,6,1
29/04/2020,Katsina,40,0,2
29/04/2020,Edo,37,9,3
29/04/2020,Osun,34,18,2
29/04/2020,Kaduna,32,6,0
29/04/2020,Bauchi,29,6,0
29/04/2020,Sokoto,27,0,3
29/04/2020,Oyo,21,9,2
29/04/2020,Akwa Ibom,12,9,1
29/04/2020,Kwara,11,2,0
29/04/2020,Ekiti,8,2,1
29/04/2020,Ondo,8,3,0
29/04/2020,Taraba,8,0,0
29/04/2020,Delta,7,4,2
29/04/2020,Jigawa,7,0,0
29/04/2020,Rivers,7,2,2
29/04/2020,Zamfara,4,0,0
29/04/2020,Enugu,3,2,0
29/04/2020,Abia,2,0,0
29/04/2020,Adamawa,2,0,0
29/04/2020,Ebonyi,2,0,0
29/04/2020,Niger,2,0,0
29/04/2020,Anambra,1,1,0
29/04/2020,Bayelsa,1,0,0
29/04/2020,Benue,1,0,0
29/04/2020,Imo,1,0,0
29/04/2020,Kebbi,1,0,0
29/04/2020,Nasarawa,1,0,0
29/04/2020,Plateau,1,0,0
29/04/2020,Yobe,1,0,0
30/04/2020,Lagos,976,199,21
30/04/2020,Kano,219,0,3
30/04/2020,FCT,178,36,3
30/04/2020,Gombe,76,0,0
30/04/2020,Borno,66,0,6
30/04/2020,Ogun,56,8,1
